Employment by Sector (Rate %),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Location,Gender,Sector,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,
Haiti,Male,Agriculture,64%,63%,63%,64%,63%,63%,63%,63%,63%,63%,63%,63%,,,,,
Honduras,Male,Agriculture,46%,47%,48%,49%,48%,50%,48%,40%,41%,38%,45%,45%,,,,,
"Hong Kong, China",Male,Agriculture,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,,,,,
Hungary,Male,Agriculture,6%,6%,6%,6%,7%,7%,7%,6%,7%,7%,7%,7%,,,,,
Iceland,Male,Agriculture,9%,7%,7%,9%,9%,9%,6%,7%,6%,5%,5%,5%,,,,,
India,Male,Agriculture,49%,48%,48%,47%,45%,44%,43%,43%,42%,41%,41%,40%,,,,,
Indonesia,Male,Agriculture,41%,41%,41%,40%,37%,36%,36%,35%,33%,33%,32%,32%,,,,,
"Iran, Islamic Republic of",Male,Agriculture,21%,19%,19%,17%,17%,18%,17%,17%,17%,17%,17%,17%,,,,,
Iraq,Male,Agriculture,21%,21%,20%,20%,20%,20%,20%,19%,19%,18%,18%,18%,,,,,
Ireland,Male,Agriculture,8%,8%,9%,9%,9%,9%,9%,9%,8%,9%,8%,8%,,,,,
Israel,Male,Agriculture,2%,3%,3%,2%,2%,2%,2%,2%,1%,1%,1%,1%,,,,,
Italy,Male,Agriculture,5%,4%,4%,4%,4%,4%,4%,5%,5%,5%,5%,5%,,,,,
Jamaica,Male,Agriculture,25%,25%,25%,25%,25%,26%,26%,26%,25%,23%,23%,23%,,,,,
Japan,Male,Agriculture,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,,,,,
Jordan,Male,Agriculture,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,,,,,
Kazakhstan,Male,Agriculture,33%,31%,30%,29%,27%,26%,25%,23%,19%,17%,16%,16%,,,,,
"Korea, Republic of",Male,Agriculture,7%,7%,7%,6%,6%,6%,6%,6%,5%,5%,5%,5%,,,,,
Kenya,Male,Agriculture,54%,54%,54%,54%,53%,53%,53%,52%,52%,52%,52%,51%,,,,,
