World,Region,Country
World,East Asia and Pacific,American Samoa
World,East Asia and Pacific,Australia
World,East Asia and Pacific,Brunei Darussalam
World,East Asia and Pacific,Cambodia
World,East Asia and Pacific,China
World,East Asia and Pacific,Fiji
World,East Asia and Pacific,French Polynesia
World,East Asia and Pacific,Guam
World,East Asia and Pacific,Hong Kong SAR China
World,East Asia and Pacific,Indonesia
World,East Asia and Pacific,Japan
World,East Asia and Pacific,Kiribati
World,East Asia and Pacific,Korea Dem. People's Rep.
World,East Asia and Pacific,Korea Rep.
World,East Asia and Pacific,Lao PDR
World,East Asia and Pacific,Macao SAR China
World,East Asia and Pacific,Malaysia
World,East Asia and Pacific,Marshall Islands
World,East Asia and Pacific,Micronesia Fed. Sts.
World,East Asia and Pacific,Mongolia
World,East Asia and Pacific,Myanmar
World,East Asia and Pacific,Nauru
World,East Asia and Pacific,New Caledonia
World,East Asia and Pacific,New Zealand
World,East Asia and Pacific,Northern Mariana Islands
World,East Asia and Pacific,Palau
World,East Asia and Pacific,Philippines
World,East Asia and Pacific,Samoa
World,East Asia and Pacific,Singapore
World,East Asia and Pacific,Solomon Islands
World,East Asia and Pacific,Taiwan China
World,East Asia and Pacific,Thailand
World,East Asia and Pacific,Timor-Leste
World,East Asia and Pacific,Papua New Guinea
World,East Asia and Pacific,Tonga
World,East Asia and Pacific,Tuvalu
World,East Asia and Pacific,Vanuatu
World,East Asia and Pacific,Vietnam
World,Europe and Central Asia,Albania
World,Europe and Central Asia,Andorra
World,Europe and Central Asia,Armenia
World,Europe and Central Asia,Austria
World,Europe and Central Asia,Azerbaijan
World,Europe and Central Asia,Belarus
World,Europe and Central Asia,Belgium
World,Europe and Central Asia,Bosnia and Herzegovina
World,Europe and Central Asia,Bulgaria
World,Europe and Central Asia,Channel Islands
World,Europe and Central Asia,Croatia
World,Europe and Central Asia,Cyprus
World,Europe and Central Asia,Czech Republic
World,Europe and Central Asia,Denmark
World,Europe and Central Asia,Estonia
World,Europe and Central Asia,Faroe Islands
World,Europe and Central Asia,Finland
World,Europe and Central Asia,France
World,Europe and Central Asia,Georgia
World,Europe and Central Asia,Germany
World,Europe and Central Asia,Gibraltar
World,Europe and Central Asia,Greece
World,Europe and Central Asia,Greenland
World,Europe and Central Asia,Hungary
World,Europe and Central Asia,Iceland
World,Europe and Central Asia,Ireland
World,Europe and Central Asia,Isle of Man
World,Europe and Central Asia,Italy
World,Europe and Central Asia,Kazakhstan
World,Europe and Central Asia,Kosovo
World,Europe and Central Asia,Kyrgyz Republic
World,Europe and Central Asia,Latvia
World,Europe and Central Asia,Liechtenstein
World,Europe and Central Asia,Lithuania
World,Europe and Central Asia,Luxembourg
World,Europe and Central Asia,Macedonia FYR
World,Europe and Central Asia,Moldova
World,Europe and Central Asia,Monaco
World,Europe and Central Asia,Montenegro
World,Europe and Central Asia,Netherlands
World,Europe and Central Asia,Norway
World,Europe and Central Asia,Poland
World,Europe and Central Asia,Portugal
World,Europe and Central Asia,Romania
World,Europe and Central Asia,Russian Federation
World,Europe and Central Asia,San Marino
World,Europe and Central Asia,Serbia
World,Europe and Central Asia,Slovak Republic
World,Europe and Central Asia,Slovenia
World,Europe and Central Asia,Spain
World,Europe and Central Asia,Sweden
World,Europe and Central Asia,Switzerland
World,Europe and Central Asia,Tajikistan
World,Europe and Central Asia,Turkey
World,Europe and Central Asia,Turkmenistan
World,Europe and Central Asia,Ukraine
World,Europe and Central Asia,United Kingdom
World,Europe and Central Asia,Uzbekistan
World,Latin America & the Caribbean,Antigua and Barbuda
World,Latin America & the Caribbean,Argentina
World,Latin America & the Caribbean,Aruba
World,Latin America & the Caribbean,Bahamas The
World,Latin America & the Caribbean,Barbados
World,Latin America & the Caribbean,Belize
World,Latin America & the Caribbean,Bolivia
World,Latin America & the Caribbean,Brazil
World,Latin America & the Caribbean,British Virgin Islands
World,Latin America & the Caribbean,Cayman Islands
World,Latin America & the Caribbean,Chile
World,Latin America & the Caribbean,Colombia
World,Latin America & the Caribbean,Costa Rica
World,Latin America & the Caribbean,Cuba
World,Latin America & the Caribbean,Curacao
World,Latin America & the Caribbean,Dominica
World,Latin America & the Caribbean,Dominican Republic
World,Latin America & the Caribbean,Ecuador
World,Latin America & the Caribbean,El Salvador
World,Latin America & the Caribbean,Grenada
World,Latin America & the Caribbean,Guatemala
World,Latin America & the Caribbean,Guyana
World,Latin America & the Caribbean,Haiti
